职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
android应用开发工程师,12-24K·15薪,"['3-5年', '本科']","['Android客户端产品研发', '研发流程优化', 'Java', 'Kotlin', '多线程编程能力', 'C++', 'C', '通信相关专业', '计算机/软件工程相关专业', 'Android开发经验']",3-5年,本科,广州,LANGO,100-499人,"['员工旅游', '五险一金', '生日福利', '绩效奖金', '股票期权', '意外险', '定期体检', '年终奖', '零食下午茶', '带薪年假', '团建聚餐', '免费工装', '包吃', '通讯补贴', '节日福利']"
游戏SDK接入工程师,200-210元/天,"['5天/周', '12个月', '大专']","['SDK', 'Java']",,大专,北京,北京千人千面,20-99人,"['带薪年假', '节假日加班费', '股票期权', '员工旅游', '法定节假日三薪', '零食下午茶', '全勤奖', '加班补助', '团建聚餐', '有无线网', '年终奖', '节日福利', '生日福利', '五险一金']"
Android开发工程师,12-20K·13薪,"['3-5年', '本科']","['Android开发经验', 'Android客户端产品研发']",3-5年,本科,青岛,海石商用科技,500-999人,"['高温补贴', '绩效奖金', '节日福利', '带薪年假', '五险一金', '交通补助', '补充医疗保险', '年终奖', '意外险', '定期体检', '股票期权', '生日福利', '有无线网', '餐补']"
客户端开发工程师（会员）,20-40K·16薪,"['在校/应届', '本科']",['Android客户端产品研发'],在校/应届,本科,北京,阿里巴巴集团,10000人以上,"['补充医疗保险', '餐补', '节日福利', '零食下午茶', '交通补助', '年终奖', '五险一金', '员工旅游', '免费班车', '股票期权']"
海外文字/短剧 Android开发工程师,20-30K,"['经验不限', '本科']","['Android开发经验', '架构经验', '架构设计/优化', 'Android客户端产品研发', '研发流程优化']",经验不限,本科,北京,新阅时代,500-999人,"['年终奖', '绩效奖金', '生日福利', '带薪年假', '交通补助', '节假日加班费', '团建聚餐', '五险一金', '加班补助', '员工旅游', '定期体检', '零食下午茶', '法定节假日三薪', '餐补', '节日福利']"
高级 Android 开发工程师,65-90K,"['5-10年', '本科']",[],5-10年,本科,深圳,某全球中型互联网科技公司,100-499人,"['节日福利', '年终奖', '定期体检', '股票期权', '带薪年假', '团建聚餐', '意外险', '零食下午茶', '生日福利', '补充医疗保险', '免费工装', '包吃', '五险一金', '提供三餐']"
Linux 驱动开发,15-22K,"['3-5年', '本科']",[],3-5年,本科,东莞,敏动电子科技,20-99人,"['零食下午茶', '年终奖', '节日福利', '定期体检', '五险一金', '补充医疗保险', '员工旅游', '带薪年假']"
安卓高级开发工程师,23-27K,"['5-10年', '本科']",['Android客户端产品研发'],5-10年,本科,长沙,某中型电子/半导体/集成电路公司（即将上市）,100-499人,"['年终奖', '补充医疗保险', '绩效工资', '节日福利', '零食下午茶', '员工旅游', '免费班车', '五险一金', '包吃', '定期体检', '股票期权']"
高级客户端开发工程师,10-11K,"['5-10年', '本科']","['Android客户端产品研发', '可兼职']",5-10年,本科,海口,海南晨吉企业管理咨询,0-20人,"['五险', '带薪年假', '绩效奖金', '年终奖', '底薪加提成', '保底工资']"
flutter开发,13-20K,"['3-5年', '本科']","['Java', 'Android开发经验', '自定义UI组件', '通信相关专业', 'Android客户端产品研发', '研发流程优化', '多线程编程能力', '计算机/软件工程相关专业', '前端开发经验', 'Kotlin', '架构经验', '架构设计/优化', '精通Dart语言', 'Flutter', '架构设计能力']",3-5年,本科,长沙,长沙如神助科技,0-20人,"['零食下午茶', '团建聚餐', '绩效奖金', '带薪年假', '五险一金', '年终奖', '保底工资', '有无线网', '底薪加提成', '法定节假日三薪']"
应用软件负责人,50-80K·16薪,"['10年以上', '本科']","['Android开发经验', 'Java', 'Android客户端产品研发', 'Kotlin']",10年以上,本科,深圳,某大型互联网公司,100-499人,"['股票期权', '五险一金', '定期体检', '年终奖', '补充医疗保险', '通讯补贴', '带薪年假', '员工旅游', '节日福利', '免费班车', '零食下午茶']"
android系统工程师,16-30K·16薪,"['3-5年', '本科']","['研发流程优化', '架构设计/优化', 'Java', 'Kotlin', '计算机/软件工程相关专业', 'Android开发经验', '安卓系统', 'framework']",3-5年,本科,深圳,感臻,100-499人,"['生日福利', '法定节假日三薪', '年终奖', '节假日加班费', '通讯补贴', '住房补贴', '五险一金', '加班补助', '员工旅游', '补充医疗保险', '意外险', '定期体检', '交通补助', '带薪年假', '团建聚餐', '夜班补助', '节日福利']"
Android开发工程师,7-12K,"['3-5年', '大专']","['Java', 'Socket技术', 'Framework']",3-5年,大专,大同,山西万腾,100-499人,"['节日福利', '包吃', '带薪年假', '定期体检', '五险一金']"
鸿蒙显示工程师,15-25K,"['3-5年', '本科']",[],3-5年,本科,长沙,鸿蒙生态服务公司,20-99人,"['交通补助', '生日福利', '节日福利', '通讯补贴', '年终奖', '零食下午茶', '带薪年假', '团建聚餐', '绩效奖金', '节假日加班费', '定期体检', '五险一金']"
客户端开发,30-50K·15薪,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin', 'Flutter', 'React Native', 'Android开发经验', '短视频']",3-5年,本科,深圳,某大型互联网平台公司,10000人以上,"['年终奖', '有无线网', '免费班车', '节日福利', '团建聚餐', '公仔周边活动', '员工旅游', '补充医疗保险', '五险一金', '意外险', '交通补助', '定期体检', '带薪年假', '免费健身房']"
Android系统应用开发工程师(J11593),20-30K·14薪,"['3-5年', '本科']","['系统应用', 'Android开发经验', '通信相关专业', '数据结构/算法能力', '数学相关专业', 'Android客户端产品研发', '研发流程优化', '计算机/软件工程相关专业']",3-5年,本科,北京,四维图新,1000-9999人,"['免费健身房', '零食下午茶', '团建聚餐', '免费班车', '补充医疗保险', '餐补', '五险一金', '股票期权', '年终奖', '免费图书馆', '员工旅游', '意外险', '带薪年假', '定期体检', '节日福利', '公司食堂', '咖啡厅', '绩效奖金', '通讯补贴', '交通补助']"
flutter开发工程师,15-30K,"['3-5年', '本科']",[],3-5年,本科,南京,苏州游梦坊网络科技,20-99人,"['工龄奖', '全勤奖', '零食下午茶', '包住', '补充医疗保险', '意外险', '团建聚餐', '员工旅游', '五险一金', '生日福利', '带薪年假']"
对日Android开发,13-22K,"['经验不限', '学历不限']","['Kotlin', 'Flutter', 'Android', '日语']",经验不限,学历不限,大连,亦仁科技,20-99人,"['五险一金', '定期体检', '员工旅游', '节日福利']"
Flutter Android工程师,20-30K·15薪,"['3-5年', '本科']","['架构设计/优化', '数据结构/算法能力', 'Android客户端产品研发', 'iap', 'Flutter', '付费', '多线程编程能力', '联运', 'Kotlin']",3-5年,本科,北京,半糖去冰科技,100-499人,"['绩效奖金', '带薪年假', '定期体检', '意外险', '节假日加班费', '全勤奖', '零食下午茶', '五险一金', '补充医疗保险', '员工旅游', '团建聚餐', '协助落户', '年终奖', '加班补助', '打车报销', '生日福利', '节日福利', '餐补', '住房补贴']"
android系统软件工程师,20-35K,"['3-5年', '本科']","['hals', 'Android+', 'Arm']",3-5年,本科,上海,北觅科技,20-99人,"['带薪年假', '节日福利', '绩效奖金', '五险一金', '定期体检', '年终奖', '餐补', '补充公积金']"
安卓高级开发工程师,35-45K·18薪,"['经验不限', '本科']","['Android客户端产品研发', '架构设计/优化', 'Java', '计算机/软件工程相关专业', 'Android开发经验', '大规模应用开发/维护经验', '架构经验', '前端开发经验']",经验不限,本科,上海,某大型生活服务(O2O)上市公司,10000人以上,"['带薪年假', '补充医疗保险', '交通补助', '年终奖', '五险一金', '法定节假日三薪', '定期体检', '全勤奖', '加班补助', '节假日加班费', '节日福利', '晚班交通补助']"
安卓研发工程师,12-20K,"['5-10年', '大专']",[],5-10年,大专,上海,斐德,100-499人,"['加班补助', '工龄福利', '全勤奖', '节日福利', '补充医疗保险']"
android应用开发,30-35K,"['5-10年', '本科']",[],5-10年,本科,南京,软通动力,10000人以上,"['带薪年假', '五险一金', '节日福利', '补充医疗保险', '加班补助', '通讯补贴', '生日福利', '零食下午茶', '免费班车', '团建活动', '定期体检', '交通补助']"
flutter开发工程师,15-30K,"['3-5年', '本科']",[],3-5年,本科,南京,苏州游梦坊网络科技,20-99人,"['工龄奖', '全勤奖', '零食下午茶', '包住', '补充医疗保险', '意外险', '团建聚餐', '员工旅游', '五险一金', '生日福利', '带薪年假']"
Android开发（U3D）,15-20K,"['3-5年', '本科']","['Android客户端产品研发', 'U3D']",3-5年,本科,武汉,美时互娱,100-499人,"['带薪年假', '零食下午茶', '晋升和调薪', '生日福利', '节假日加班费', '加班调休', '五险', '绩效奖金', '节日福利', '团建聚餐', '有无线网']"
Android 开发工程师,12-18K,"['1-3年', '大专']","['Java', '多线程编程能力', 'Android开发经验', '计算机/软件工程相关专业', '前端开发经验']",1-3年,大专,深圳,五道科技,20-99人,"['交通补助', '员工旅游', '全勤奖', '五险一金']"
flutter开发,13-20K,"['3-5年', '本科']","['Java', 'Android开发经验', '自定义UI组件', '通信相关专业', 'Android客户端产品研发', '研发流程优化', '多线程编程能力', '计算机/软件工程相关专业', '前端开发经验', 'Kotlin', '架构经验', '架构设计/优化', '精通Dart语言', 'Flutter', '架构设计能力']",3-5年,本科,长沙,长沙如神助科技,0-20人,"['零食下午茶', '团建聚餐', '绩效奖金', '带薪年假', '五险一金', '年终奖', '保底工资', '有无线网', '底薪加提成', '法定节假日三薪']"
应用软件负责人,50-80K·16薪,"['10年以上', '本科']","['Android开发经验', 'Java', 'Android客户端产品研发', 'Kotlin']",10年以上,本科,深圳,某大型互联网公司,100-499人,"['股票期权', '五险一金', '定期体检', '年终奖', '补充医疗保险', '通讯补贴', '带薪年假', '员工旅游', '节日福利', '免费班车', '零食下午茶']"
安卓高级开发工程师,30-45K,"['3-5年', '本科']","['Android客户端产品研发', 'Flutter', '计算机/软件工程相关专业', 'Android开发经验', '架构经验', 'framework']",3-5年,本科,上海,某大型已上市通信/网络设备公司,10000人以上,"['补充医疗保险', '带薪年假', '通讯补贴', '免费班车', '五险一金', '交通补助', '餐补', '住房补贴', '零食下午茶', '节日福利', '年终奖', '员工旅游', '定期体检']"
Android,20-40K·16薪,"['1-3年', '本科']","['Android开发经验', 'Java', 'Android客户端产品研发', 'React Native', '计算机/软件工程相关专业', 'Kotlin']",1-3年,本科,杭州,快手(杭州),10000人以上,"['节日福利', '补充医疗保险', '交通补助', '绩效奖金', '节假日加班费', '带薪年假', '餐补', '有无线网', '意外险', '零食下午茶', '年终奖', '五险一金', '保底工资', '加班补助', '定期体检', '团建聚餐', '住房补贴', '生日福利', '法定节假日三薪']"
高级android系统工程师,25-30K,"['5-10年', '本科']",['Android开发经验'],5-10年,本科,西安,TCL实业,10000人以上,"['零食下午茶', '定期体检', '五险一金', '员工旅游', '年终奖', '免费班车', '带薪年假']"
资深android系统工程师（base南昌）,15-25K·14薪,"['5-10年', '大专']",[],5-10年,大专,上海,天珑移动,1000-9999人,"['员工旅游', '定期体检', '五险一金', '节日福利', '股票期权', '年终奖', '带薪年假']"
Flutter-Android资深开发工程师,30-50K·16薪,"['3-5年', '本科']","['Android客户端产品研发', 'Java', 'Kotlin', 'C++', 'C', 'Flutter']",3-5年,本科,杭州,得物App,1000-9999人,"['零食下午茶', '生日福利', '五险一金', '定期体检', '年终奖', '绩效奖金', '加班补助', '股票期权', '交通补助', '带薪年假', '节日福利', '餐补']"
Kotlin 游戏开发工程师,11-22K,"['3-5年', '大专']","['Android客户端产品研发', 'Kotlin', 'HTML5', 'React Native', 'Android开发经验', '前端开发经验', '游戏', '游戏盒子', '游戏平台']",3-5年,大专,深圳,闲闲互娱,100-499人,"['带薪病假', '全勤奖', '零食下午茶', '交通补助', '员工旅游', '节日福利', '餐补', '年终奖', '定期体检', '带薪年假', '五险一金']"
Android应用工程师,15-20K·13薪,"['3-5年', '本科']","['架构设计/优化', 'Android客户端产品研发', '研发流程优化']",3-5年,本科,深圳,路之音科技,100-499人,"['意外险', '团建聚餐', '餐补', '包吃', '节日福利', '带薪年假', '员工旅游', '绩效奖金', '生日福利', '底薪加提成', '零食下午茶', '年终奖', '保底工资', '补充医疗保险', '五险一金']"
