职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
Cloud Support Engineer-Networking,30-50K·13薪,"['5-10年', '本科']","['不需要出差', '运营商', '有网络工程师经验', '5年以上网络工程师经验', '大型网络运维', '英文听说读写能力']",5-10年,本科,北京,西云数据,100-499人,"['带薪年假', '节日福利', '零食下午茶', '补充医疗保险', '交通补助', '餐补', '定期体检', '通讯补贴', '五险一金']"
网络工程师,7-12K,"['3-5年', '本科']","['通信/工程相关专业', '网络建设/系统集成经验', '网络运维经验', 'CCNA/CCNP', 'HCNA/HCNP', 'CCIE', 'IT服务']",3-5年,本科,北京,北方翱翔,20-99人,['五险一金']
网络工程师（驻北京三峡）,6-8K,"['1-3年', '大专']","['CCNP/HCIP等', 'CCIE/HCIE等', '不需要出差', '通信相关专业', '有网络工程师经验', '1到3年网络工程师经验', 'CCNA/HCIA等', '计算机相关专业', '甲方企业']",1-3年,大专,北京,湖北淳驰,20-99人,"['餐补', '全勤奖', '交通补助', '通讯补贴', '加班补助', '五险']"
网络工程师,8-13K,"['3-5年', '学历不限']","['CCNP/HCIP等', 'Java', '通信相关专业', 'PMP证书', '有网络工程师经验', 'Zabbix/Prometheus', '数据中心运维', 'CCNA/HCIA等', '大型网络实施', '计算机相关专业', '3到5年网络工程师经验', 'CCIE/HCIE等', 'C/C++', '不需要出差', '通信设备商', '大型网络运维', 'Python']",3-5年,学历不限,北京,小红鲸,20-99人,[]
计算机类 英文学术期刊助理编辑,11-22K,"['经验不限', '本科']","['不需要出差', '接受无网络工程师经验', '英语六级']",经验不限,本科,北京,曼迪匹艾,1000-9999人,"['带薪年假', '五险一金', '年终奖', '定期体检', '节日福利', '交通补助', '零食下午茶', '餐补']"
高级实施工程师,10-12K·14薪,"['3-5年', '本科']","['计算机相关专业', '通信/工程相关专业', '网络运维经验', 'HCIP']",3-5年,本科,北京,德锐士,100-499人,"['法定节假日三薪', '生日福利', '保底工资', '五险一金', '节日福利', '年终奖', '带薪年假', '带薪病假', '零食下午茶', '定期体检']"
交付工程师,20-30K·16薪,"['3-5年', '本科']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验']",3-5年,本科,北京,北京某大型医疗健康公司,1000-9999人,[]
网络工程师,10-15K,"['3-5年', '本科']","['CCIE/HCIE等', '不需要出差', '5年以上网络工程师经验', '通信相关专业', '有网络工程师经验', '数据中心运维', '大型网络实施', '3到5年网络工程师经验', '大型网络运维']",3-5年,本科,北京,华为,10000人以上,"['带薪年假', '股票期权', '零食下午茶', '绩效奖金', '交通补助', '法定节假日三薪', '年终奖', '定期体检', '五险一金', '节日福利', '免费班车', '意外险', '员工旅游', '补充医疗保险', '加班补助', '团建聚餐', '保底工资', '企业年金', '夜班补助', '节假日加班费']"
网络工程师,8-10K,"['3-5年', '大专']","['有网络工程师经验', '3到5年网络工程师经验', '5年以上网络工程师经验', '通信相关专业', '计算机相关专业', 'CCIE/HCIE等', 'SQL', '不需要出差']",3-5年,大专,北京,中佳瑞通,500-999人,[]
AI网络工程师,30-50K·16薪,"['经验不限', '本科']","['C/C++', '不需要出差', '通信设备商', '接受无网络工程师经验']",经验不限,本科,北京,华为,10000人以上,"['员工旅游', '节日福利', '夜班补助', '定期体检', '加班补助', '企业年金', '免费班车', '股票期权', '法定节假日三薪', '保底工资', '五险一金', '绩效奖金', '意外险', '补充医疗保险', '年终奖', '节假日加班费', '带薪年假', '交通补助', '团建聚餐', '零食下午茶']"
网络工程师,10-15K,"['3-5年', '本科']","['不需要出差', '有网络工程师经验', '计算机相关专业', '3到5年网络工程师经验', '甲方企业']",3-5年,本科,北京,数盾股份,100-499人,"['节日福利', '生日福利', '底薪加提成', '带薪年假', '团建聚餐', '五险一金', '节假日加班费', '有无线网', '工龄奖', '餐补', '加班补助', '法定节假日三薪', '保底工资']"
系统集成工程师,12-17K,"['3-5年', '本科']","['有网络工程师经验', '3到5年网络工程师经验', '通信相关专业', 'CCNA/HCIA等', 'CCNP/HCIP等']",3-5年,本科,北京,中国通信建设集团...,100-499人,"['五险一金', '定期体检', '补充医疗保险', '意外险']"
中级网络工程师,10-15K,"['1-3年', '本科']","['CCNP/HCIP等', '不需要出差', '有网络工程师经验', '1到3年网络工程师经验', 'CCNA/HCIA等', '熟悉Linux等操作系统', '计算机相关专业', '大型网络运维', 'SQL', '数据库管理']",1-3年,本科,北京,仁科,100-499人,"['通讯补贴', '法定节假日三薪', '股票期权', '定期体检', '员工旅游', '全勤奖', '加班补助', '零食下午茶', '节日福利', '意外险', '补充医疗保险', '生日福利', '工龄奖', '年终奖', '五险一金', '绩效奖金', '带薪年假', '团建聚餐']"
初级网络工程师,8-9K,"['1-3年', '大专']","['有网络工程师经验', '运营商', '不需要出差', '1年以内网络工程师经验', '1到3年网络工程师经验', 'CCNP/HCIP等', '通信相关专业']",1-3年,大专,北京,WIT,100-499人,"['带薪年假', '股票期权', '五险一金', '节日福利', '员工旅游', '定期体检', '年终奖']"
网络工程师,7-11K·13薪,"['3-5年', '大专']",['网络工程师证'],3-5年,大专,北京,神州立达,20-99人,"['带薪年假', '餐补', '员工旅游', '生日福利', '年终奖', '全勤奖', '团建聚餐', '股票期权', '五险一金', '定期体检', '节日福利']"
网络工程师,5-10K,"['1-3年', '本科']","['故障处理', '路由器配置', '接受实习/在校生投递', 'Linux', '有网络工程师经验', '通信设备商', 'IDC维护', '交换机配置', '网络规划设计']",1-3年,本科,北京,盈泰福信息技术,20-99人,[]
网络工程师,15-20K,"['5-10年', '本科']","['网络运维经验', '网络建设/系统集成经验']",5-10年,本科,北京,北京雍禾医疗集团,1000-9999人,"['节日福利', '有无线网', '免费工装', '绩效奖金', '夜班补助', '节假日加班费', '五险一金', '带薪年假', '底薪加提成', '保底工资']"
网络工程师,14-20K·13薪,"['3-5年', '大专']","['有网络工程师经验', '系统集成商', '3到5年网络工程师经验', '网络架构设计', '大型网络实施', '大型网络运维', '数据中心运维', 'CCIE/HCIE等']",3-5年,大专,北京,北京乐讯科技有限公司,100-499人,"['带薪年假', '加班补助', '五险一金', '员工旅游', '全勤奖', '节日福利', '定期体检']"
网络运维岗,20-35K,"['3-5年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '3到5年网络工程师经验', '5年以上网络工程师经验', '金融网络运维', '数据中心运维', '大型网络运维', '通信相关专业', 'CCNP/HCIP等', 'TCP/IP', '数据中心']",3-5年,本科,北京,某大型保险公司,100-499人,[]
网络工程师,5-7K·13薪,"['3-5年', '大专']","['HCNA/HCNP', 'CCNA/CCNP', '故障处理', '安防监控', '门禁系统', '安防', '路由器交换机调试安装', '监控设备', '技术调试', '网络工程师']",3-5年,大专,北京,环网讯达,20-99人,"['员工旅游', '年终奖', '节日福利', '五险一金', '带薪年假']"
网络工程师,5-8K,"['经验不限', '大专']","['网络运维', '机房运维', '网络协议', '网络交换技术', '网络设备', 'CCNA证书', 'OSPF', 'STP']",经验不限,大专,北京,驰骏网络,20-99人,"['年终奖', '员工旅游', '带薪年假', '五险一金']"
线上网络运维工程师,13-15K,"['3-5年', '大专']","['有网络工程师经验', '不需要出差', '3到5年网络工程师经验', '计算机相关专业', '大型网络运维', 'CCNA/HCIA等', 'CCNP/HCIP等']",3-5年,大专,北京,护航科技,1000-9999人,"['五险一金', '带薪年假', '员工旅游', '节日福利', '定期体检', '通讯补贴']"
网络工程师,20-40K,"['5-10年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '5年以上网络工程师经验', '通信相关专业', '计算机相关专业', 'CCNA/HCIA等', 'CCNP/HCIP等', 'CCIE/HCIE等', 'PMP证书']",5-10年,本科,北京,量化派,100-499人,"['带薪年假', '通讯补贴', '年终奖', '员工旅游', '零食下午茶', '交通补助', '节日福利', '加班补助', '餐补', '股票期权', '定期体检', '补充医疗保险', '五险一金']"
网络运维工程师-华夏久盈,15-18K,"['3-5年', '本科']","['不需要出差', '5年以上网络工程师经验', '有网络工程师经验', '金融网络运维', '3到5年网络工程师经验', '大型网络运维']",3-5年,本科,北京,赢胜数科,1000-9999人,"['五险一金', '带薪年假', '加班补助', '节日福利', '员工旅游', '零食下午茶']"
26届校招-名企直招-技术类,20-30K,"['在校/应届', '本科']","['接受无网络工程师经验', '系统集成商', '不需要出差']",在校/应届,本科,北京,上海某大型4S店/后市场独角兽公司,1000-9999人,[]
网络工程师,8-12K·13薪,"['1-3年', '本科']","['CCNP/HCIP等', '1年以内网络工程师经验', 'Zabbix/Prometheus', '有网络工程师经验', '1到3年网络工程师经验', '熟悉Linux等操作系统', '大型网络实施', '系统集成商', '计算机相关专业', 'Python']",1-3年,本科,北京,欧勤永嘉,0-20人,[]
网络工程师,7-10K,"['3-5年', '大专']","['路由器配置', '网络工程师证']",3-5年,大专,北京,北斗信息,100-499人,"['五险一金', '出差补助', '通讯补贴', '餐补', '带薪年假', '年终奖', '交通补助']"
高级网络工程师/专家,60-90K·13薪,"['5-10年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '5年以上网络工程师经验', '大型网络运维', 'CCIE/HCIE等']",5-10年,本科,北京,某中型科技基金公司,100-499人,"['带薪年假', '定期体检', '有无线网', '团建聚餐', '五险一金', '零食下午茶', '员工旅游', '交通补助', '年终奖', '补充医疗保险', '节日福利', '加班补助', '包吃']"
技术文档（网络方向）,20-40K·15薪,"['3-5年', '本科']","['CCNP/HCIP等', 'Java', '网络架构设计', '有网络工程师经验', 'CCNA/HCIA等', '大型网络实施', '计算机相关专业', '3到5年网络工程师经验', '甲方企业', '数据库管理', '不需要出差', '大型网络运维', 'Python']",3-5年,本科,北京,诚云科技,500-999人,"['交通补助', '员工旅游', '生日福利', '节日福利', '五险一金', '团建聚餐', '年终奖', '带薪年假', '法定节假日三薪', '定期体检', '餐补', '补充医疗保险', '免费班车']"
网络运维工程师,8-12K,"['3-5年', '本科']","['有网络工程师经验', '熟悉Linux等操作系统', '大型网络运维', '1到3年网络工程师经验', '不需要出差', 'CCIE/HCIE等']",3-5年,本科,北京,北京浩闰科技有限公司,20-99人,"['零食下午茶', '带薪年假', '定期体检', '五险一金', '法定放假弹性']"
网络工程师,5-6K,"['1-3年', '大专']","['CCNP/HCIP等', '网络架构设计', '网络', '有网络工程师经验', '数据中心运维', 'CCNA/HCIA等', '网络建设', '大型网络实施', '网络实施', '数据中心', '不需要出差', '网络方案', '1到3年网络工程师经验', '运营商', '大型网络运维']",1-3年,大专,北京,德亚维,100-499人,"['五险一金', '补充医疗保险', '全勤奖', '年终奖', '带薪年假', '节日福利']"
资深网络工程师,13-26K,"['5-10年', '本科']","['CCIE/HCIE等', '5年以上网络工程师经验', '不需要出差', '网络架构设计', '有网络工程师经验', '大型网络实施', '系统集成商', '大型网络运维', 'HCIE，CCIE证书']",5-10年,本科,北京,北京壹瞳科技有限公司,0-20人,[]
初级网络工程师,7-10K,"['1-3年', '本科']","['CCIE/HCIE等', '通信相关专业', '1年以内网络工程师经验', '有网络工程师经验', 'CCNA/HCIA等', '系统集成商', '大型网络实施', '大型网络运维']",1-3年,本科,北京,智能航空,100-499人,"['五险一金', '餐补', '定期体检', '通讯补贴', '补充医疗保险', '交通补助', '加班补助', '带薪年假', '年终奖', '节日福利', '住房补贴']"
信息化经理/主管,20-35K·14薪,"['5-10年', '本科']","['有网络工程师经验', 'C/C++', 'Python', 'Java', '甲方企业', '不需要出差', '3到5年网络工程师经验', '5年以上网络工程师经验', '网络协议']",5-10年,本科,北京,某中型计算机软件公司,500-999人,"['节日福利', '年终奖', '带薪年假', '零食下午茶', '五险一金', '通讯补贴', '保底工资', '员工旅游', '定期体检', '工龄奖']"
网络实施工程师,15-16K,"['1-3年', '本科']","['有网络工程师经验', '甲方企业', '1到3年网络工程师经验', '大型网络实施', '大型网络运维', 'CCNA/HCIA等', 'CCNP/HCIP等', 'CCIE/HCIE等']",1-3年,本科,北京,首都在线,500-999人,"['补充医疗保险', '通讯补贴', '带薪年假', '员工旅游', '交通补助', '零食下午茶', '定期体检', '股票期权', '五险一金']"
高性能网络研究员/研究工程师,50-70K,"['3-5年', '本科']","['不需要出差', '有网络工程师经验', '大型网络实施', '3到5年网络工程师经验']",3-5年,本科,北京,某大型互联网公司,100-499人,"['团建聚餐', '零食下午茶', '保底工资', '住房补贴', '绩效奖金', '补充医疗保险', '餐补', '定期体检', '年终奖', '加班补助', '节假日加班费', '节日福利', '带薪年假', '五险一金', '生日福利', '股票期权', '有无线网']"
行政IT主管,10-15K,"['3-5年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '1到3年网络工程师经验', '计算机相关专业']",3-5年,本科,北京,Wan Bridge,500-999人,"['交通补助', '通讯补贴', '带薪年假', '五险一金', '绩效奖金', '定期体检']"
网络架构师（企业直签）,20-40K,"['3-5年', '硕士']","['有网络工程师经验', '甲方企业', '不需要出差', '3到5年网络工程师经验', '通信相关专业', '计算机相关专业', '网络架构设计', '大型网络实施', '大型网络运维', 'CCNA/HCIA等', 'CCNP/HCIP等']",3-5年,硕士,北京,中国某大型机械设备公司,10000人以上,[]
网络工程师,8-13K,"['3-5年', '大专']","['CCNP/HCIP等', 'HCIP', 'H3CSE', '数据中心运维', '有网络工程师经验', '金融网络运维', '大型网络实施', '3到5年网络工程师经验', 'CCIE/HCIE等', '5年以上网络工程师经验', '不需要出差', '系统集成商', '大型网络运维']",3-5年,大专,北京,北京燕讯通信技术...,100-499人,"['节日福利', '高温补贴', '免费工装', '加班补助', '带薪年假', '法定节假日三薪', '生日福利', '定期体检', '五险一金']"
高级网络工程师-知名大厂-北京上海（3-5）,30-60K·16薪,"['3-5年', '本科']","['有网络工程师经验', '甲方企业', '不需要出差', '3到5年网络工程师经验', '熟悉Linux等操作系统', '网络架构设计', '大型网络运维']",3-5年,本科,北京,某大型互联网公司,1000-9999人,"['生日福利', '住房补贴', '包吃', '餐补', '年终奖', '定期体检', '股票期权', '五险一金', '带薪年假', '零食下午茶', '团建聚餐', '加班补助']"
中级网络运维工程师,15-16K,"['3-5年', '本科']","['CCIE/HCIE等', 'CCNP/HCIP等', '有网络工程师经验', '系统集成商', '熟悉Linux等操作系统', '计算机相关专业', '3到5年网络工程师经验']",3-5年,本科,北京,天一恩华,100-499人,"['带薪年假', '补充医疗保险', '年终奖', '加班补助', '定期体检', '五险一金', '员工旅游', '零食下午茶']"
高级网络工程师,20-30K,"['3-5年', '本科']","['CCIE/HCIE等', '不需要出差', '5年以上网络工程师经验', '通信相关专业', 'PMP证书', '有网络工程师经验', '系统集成商', '计算机相关专业', '3到5年网络工程师经验']",3-5年,本科,北京,联通数字科技有限公司,1000-9999人,"['生日福利', '带薪年假', '保底工资', '绩效奖金', '零食下午茶', '法定节假日三薪', '节日福利', '通讯补贴', '补充医疗保险', '企业年金', '年终奖', '五险一金', '员工旅游', '团建聚餐', '定期体检', '节假日加班费', '意外险']"
网络工程师,10-15K,"['3-5年', '大专']","['有网络工程师经验', '甲方企业', '3到5年网络工程师经验', '1到3年网络工程师经验', '通信相关专业', '计算机相关专业', '熟悉Linux等操作系统', '大型网络运维', '大型网络实施', 'CCNA/HCIA等', 'CCNP/HCIP等', 'CCIE/HCIE等']",3-5年,大专,北京,安帝科技,100-499人,"['带薪年假', '定期体检', '零食下午茶', '五险一金', '年终奖', '股票期权', '加班补助', '节日福利', '补充医疗保险']"
系统集成项目经理,6-10K,"['1-3年', '大专']","['售前支持', '通信', '系统集成工程师', '售后支持']",1-3年,大专,北京,盛朴盈辉,0-20人,"['员工旅游', '团建聚餐', '五险一金', '带薪年假']"
网络工程师,14-15K,"['5-10年', '本科']","['有网络工程师经验', '3到5年网络工程师经验', '计算机相关专业', 'CCIE/HCIE等']",5-10年,本科,北京,京孚信息,100-499人,"['五险一金', '补充医疗保险', '年终奖', '节日福利']"
